price,z,table,depth,clarity,y,color,cut,carat,x
402,2.41,57.0,60.0,VS1,4.03,F,Very Good,0.23,4.0
402,2.42,57.0,59.8,VS1,4.06,F,Very Good,0.23,4.04
402,2.42,59.0,60.7,VS1,4.01,E,Very Good,0.23,3.97
402,2.4,58.0,59.5,VS1,4.06,E,Very Good,0.23,4.01
402,2.44,58.0,61.9,VS1,3.96,D,Very Good,0.23,3.92
402,2.37,59.0,58.2,VS1,4.08,F,Good,0.23,4.06
402,2.46,59.0,64.1,VS1,3.85,E,Good,0.23,3.83
402,2.75,54.0,64.0,SI1,4.31,H,Good,0.31,4.29
403,2.52,59.0,60.8,VS2,4.16,D,Very Good,0.26,4.13
403,2.78,55.0,61.8,SI2,4.51,I,Ideal,0.33,4.49
403,2.75,56.0,61.2,SI2,4.5,I,Ideal,0.33,4.49
403,2.76,56.0,61.1,SI1,4.55,J,Ideal,0.33,4.49
403,2.61,56.0,65.2,VS2,4.02,D,Good,0.26,3.99
403,2.46,63.0,58.4,VS1,4.24,D,Good,0.26,4.19
403,2.75,56.0,63.1,SI2,4.37,H,Good,0.32,4.34
403,2.65,58.0,62.4,SI1,4.26,F,Premium,0.29,4.24
403,2.71,55.0,61.8,SI2,4.42,H,Very Good,0.32,4.35
403,2.79,56.0,63.8,SI2,4.38,H,Good,0.32,4.36
404,2.54,60.0,63.3,VS2,4.03,E,Very Good,0.25,4.0
404,2.64,60.0,60.7,SI2,4.37,H,Very Good,0.29,4.33
404,2.45,61.0,60.9,SI1,4.03,F,Very Good,0.24,4.02
404,2.44,54.0,61.9,VS1,3.95,G,Ideal,0.23,3.93
404,2.72,55.0,60.9,SI1,4.48,I,Ideal,0.32,4.45
404,2.41,58.0,61.6,VS2,3.89,E,Premium,0.22,3.93
404,2.31,62.0,59.3,VS2,3.88,D,Premium,0.22,3.91
405,2.63,59.0,61.0,SI2,4.33,I,Ideal,0.3,4.3
405,2.61,61.0,59.3,SI2,4.38,J,Premium,0.3,4.43
405,2.67,57.0,62.6,SI1,4.28,I,Very Good,0.3,4.25
405,2.71,57.0,63.0,SI1,4.32,I,Very Good,0.3,4.28
405,2.7,55.0,63.2,SI1,4.29,I,Good,0.3,4.25
552,2.78,57.0,60.9,VS1,4.59,I,Ideal,0.35,4.54
552,2.66,59.0,62.6,SI1,4.27,D,Premium,0.3,4.23
552,2.69,57.0,62.5,SI1,4.32,D,Ideal,0.3,4.29
552,2.68,56.0,62.1,SI1,4.33,D,Ideal,0.3,4.3
552,2.96,59.0,61.5,SI2,4.84,I,Premium,0.42,4.78
553,2.58,56.0,61.4,VVS2,4.22,G,Ideal,0.28,4.19
553,2.73,55.3,62.0,VVS1,4.42,I,Ideal,0.32,4.39
553,2.73,57.0,63.3,SI1,4.3,G,Very Good,0.31,4.33
553,2.68,58.0,61.8,SI1,4.32,G,Premium,0.31,4.35
553,2.44,58.0,60.7,VVS1,4.03,E,Premium,0.24,4.01
553,2.45,60.0,61.5,VVS1,4.0,D,Very Good,0.24,3.97
554,2.7,56.0,63.1,SI1,4.27,H,Very Good,0.3,4.29
554,2.68,59.0,62.9,SI1,4.24,H,Premium,0.3,4.28
554,2.67,57.0,62.5,SI1,4.25,H,Premium,0.3,4.29
554,2.72,57.0,63.7,SI1,4.26,H,Good,0.3,4.28
554,2.49,60.0,59.2,VVS2,4.22,F,Very Good,0.26,4.19
554,2.51,58.0,59.9,VVS2,4.23,E,Very Good,0.26,4.15
554,2.56,54.0,62.4,VVS2,4.13,D,Very Good,0.26,4.08
554,2.53,60.0,62.8,VVS2,4.05,D,Very Good,0.26,4.01
554,2.55,59.0,62.6,VVS1,4.09,E,Very Good,0.26,4.06
554,2.55,59.0,63.4,VVS1,4.04,E,Very Good,0.26,4.0
554,2.53,60.0,62.1,VVS1,4.12,D,Very Good,0.26,4.03
554,2.54,58.0,62.9,VVS2,4.06,E,Ideal,0.26,4.02
554,2.87,56.0,61.6,SI2,4.67,I,Ideal,0.38,4.65
554,2.45,60.0,57.9,VVS1,4.25,E,Good,0.26,4.22
554,2.45,59.0,62.3,VVS1,3.92,G,Premium,0.24,3.95
554,2.44,58.0,61.2,VVS1,3.96,H,Premium,0.24,4.01
554,2.44,59.0,60.8,VVS1,4.0,H,Premium,0.24,4.02
554,2.46,58.0,60.7,VVS2,4.04,H,Premium,0.24,4.07
554,2.73,58.0,62.9,SI1,4.33,I,Premium,0.32,4.35
554,2.73,58.0,62.7,SI1,4.34,I,Premium,0.32,4.37
554,2.74,58.0,62.8,SI1,4.34,I,Premium,0.32,4.39
554,2.72,57.0,62.4,SI1,4.35,I,Ideal,0.32,4.37
554,2.67,59.0,61.0,SI1,4.36,I,Premium,0.32,4.39
554,2.76,56.0,63.1,SI1,4.36,I,Very Good,0.32,4.39
554,2.7,57.0,60.7,SI1,4.42,I,Ideal,0.32,4.47
554,2.62,59.0,60.9,SI1,4.29,H,Premium,0.3,4.31
554,2.64,55.0,60.1,SI1,4.38,H,Premium,0.3,4.41
554,2.71,56.0,63.3,SI1,4.27,H,Very Good,0.3,4.29
554,2.7,55.0,63.8,SI1,4.2,H,Good,0.3,4.26
554,2.67,57.0,62.9,SI1,4.22,H,Ideal,0.3,4.27
554,2.69,60.0,63.4,SI1,4.23,H,Very Good,0.3,4.25
554,2.78,55.0,63.9,SI1,4.34,I,Good,0.32,4.36
554,2.95,56.0,61.4,SI2,4.79,H,Ideal,0.33,4.85
555,2.66,55.0,61.9,VS1,4.33,E,Very Good,0.29,4.28
555,2.63,55.0,62.4,VS1,4.25,E,Very Good,0.29,4.2
555,2.68,58.0,61.8,SI1,4.35,F,Very Good,0.31,4.32
555,2.76,56.0,61.5,VS2,4.5,H,Ideal,0.34,4.47
555,2.75,57.0,60.4,VS2,4.57,H,Ideal,0.34,4.54
555,2.78,55.0,61.8,VS1,4.52,I,Ideal,0.34,4.48
555,2.8,56.0,62.0,VS1,4.53,I,Ideal,0.34,4.5
555,2.68,56.0,62.3,VS1,4.31,G,Ideal,0.3,4.29
555,2.64,56.0,61.6,VS1,4.31,F,Ideal,0.29,4.26
555,2.77,56.0,60.6,SI1,4.58,G,Ideal,0.35,4.56
555,2.9,62.0,58.4,I1,5.0,E,Very Good,0.43,4.94
556,2.7,58.0,61.4,VS2,4.42,F,Very Good,0.32,4.37
556,2.82,56.0,61.9,VS2,4.57,I,Ideal,0.36,4.54
556,2.66,56.0,62.0,VS2,4.3,G,Ideal,0.3,4.28
556,2.52,57.0,61.5,VS1,4.12,E,Ideal,0.26,4.09
556,2.53,57.0,62.3,VS1,4.08,E,Ideal,0.26,4.05
556,2.55,56.0,62.1,VS1,4.12,E,Ideal,0.26,4.09
556,2.83,55.0,61.9,SI1,4.59,H,Ideal,0.36,4.57
556,2.66,61.0,57.5,VS2,4.66,G,Good,0.34,4.6
556,2.82,57.0,63.3,SI1,4.47,E,Good,0.34,4.44
556,2.83,55.0,63.5,SI1,4.47,E,Good,0.34,4.44
556,2.82,55.0,63.4,SI1,4.46,E,Good,0.34,4.44
556,2.71,62.0,59.6,VS2,4.56,G,Very Good,0.34,4.54
556,2.79,54.0,62.2,SI1,4.5,E,Ideal,0.34,4.47
556,2.79,54.0,64.1,VS2,4.37,E,Good,0.32,4.34
557,2.7,55.0,61.6,VVS1,4.41,I,Ideal,0.31,4.36
557,2.68,56.0,61.3,VVS1,4.38,I,Ideal,0.31,4.36
557,2.73,54.0,62.3,VVS1,4.4,I,Ideal,0.31,4.37
557,2.72,54.0,62.0,VVS1,4.4,I,Ideal,0.31,4.37
557,2.72,53.0,62.7,VVS1,4.35,I,Ideal,0.31,4.33
557,2.72,53.0,62.2,VVS1,4.38,I,Ideal,0.31,4.36
557,2.7,53.6,62.2,VS2,4.35,G,Ideal,0.31,4.32
557,2.69,54.8,61.6,VS1,4.37,H,Ideal,0.31,4.35
557,2.69,54.2,61.8,VS1,4.37,H,Ideal,0.31,4.33
557,2.68,59.0,59.4,SI2,4.5,G,Premium,0.33,4.52
557,2.75,58.0,62.3,SI2,4.4,F,Premium,0.33,4.43
557,2.76,58.0,62.6,SI2,4.4,G,Premium,0.33,4.42
